pEtaBin,jEtaBin,pPtL,pPtR,b_value,b_error,b_xs,b_xs_err,c_value,c_error,c_xs,c_xs_err,l_value,l_error,l_xs,l_xs_err
0,1,300,400,410.3242286601189,21.329456980546922,2.133023284294467e-06,1.108787276087207e-07,1976.9145628252343,92.96090449862254,1.0276762859791836e-05,4.832465644842107e-07,11942.792216502985,100.8666120080834,6.20832310109392e-05,5.243434752164056e-07
0,1,400,500,74.57985562135634,8.931985574677142,3.876947971099285e-07,4.6431899154436645e-08,409.9545385530328,41.622639590930305,2.1311014928151707e-06,2.1637050215426428e-07,2274.4653294574837,45.15815281312689,1.1823546279232512e-05,2.347494607877866e-07
0,1,500,600,12.16564600505073,3.3634410651123625,6.324171078562323e-08,1.748446132626375e-08,40.66523327509362,15.967353597187246,2.1139353559569966e-07,8.300445021874413e-08,440.16831488967154,18.471790598157014,2.2881643322262414e-06,9.602347776815565e-08
0,1,600,1500,5.191050834910559,2.4135509689662564,2.9983422667639245e-09,1.3940629967583892e-09,11.890104858143586,9.200435021334403,6.867704649060953e-09,5.314155856760608e-09,140.91700200850497,10.264578621088248,8.13934243113682e-08,5.928803417441496e-09
1,0,210,230,389.8598332996721,17.68370798183122,1.044566604344366e-05,4.7380646122115745e-07,1249.989421721577,64.81106451694552,3.34914524192709e-05,1.7365080422217058e-06,6566.142325444517,70.96017751557793,0.00017592920343910604,1.9012636168175114e-06
1,0,230,250,339.41094241595397,16.408412450085564,9.09396930163445e-06,4.3963697236008934e-07,987.658206617419,57.388736699585934,2.6462710210676922e-05,1.5376387281174625e-06,5611.927306211037,63.92487546355733,0.00015036254954663004,1.7127640344723023e-06
1,0,250,300,448.23100431364645,19.510949116292096,4.803851006398759e-06,2.0910577725790134e-07,1436.8516457346302,70.14897686009931,1.539924984657709e-05,7.518115209438486e-07,7383.906806429974,76.00646375890256,7.913595401000544e-05,8.145882902056506e-07
1,0,300,400,217.94899827136518,12.586941816959524,1.1679184445224947e-06,6.744936487322185e-08,735.369561735127,46.21218459988074,3.940608497872214e-06,2.476362047265721e-07,3497.681521017535,51.22464033325923,1.8742948092726212e-05,2.744963396654643e-07
1,0,400,500,28.108797480390162,4.615249464696005,1.5062598723128996e-07,2.4731634550481986e-08,127.00695587266898,19.817503402073754,6.8058934669503e-07,1.061956142549067e-07,606.8853547420204,22.0343863914278,3.252103038488276e-06,1.1807517577228085e-07
1,0,500,600,9.322583530823279,2.7425074370803615,4.9956720804440834e-08,1.4696213542666658e-08,20.240976770289045,9.3429485356259,1.0846487156476093e-07,5.0065850302261045e-08,141.43480143842524,10.231602187521275,7.57903521500222e-07,5.482785884128923e-08
1,0,600,1500,2.636939554657096,1.8365028834054633,1.5700565868373109e-09,1.0934696791756444e-09,25.874985828017156,7.8823751006145635,1.5406190051589273e-08,4.693234217214219e-09,60.485140319491386,7.817499311088362,3.601337497352895e-08,4.654606611779732e-09
1,1,210,230,103.08772482647277,10.549179223698438,4.143104218772015e-06,4.2397238875780643e-07,248.87019201046576,40.13710137823695,1.000211367726663e-05,1.6131134364384572e-06,2170.1153592838277,42.934683028310246,8.721711644529275e-05,1.725548475200719e-06
1,1,230,250,100.29061930543519,9.335647518186292,4.0306883156752245e-06,3.7520044876995407e-07,263.1307057886453,35.13814253211771,1.0575244909871539e-05,1.412204865416181e-06,1729.5805210482056,38.2636128345373,6.951198472488302e-05,1.5378177763364527e-06
1,1,250,300,86.09984825515224,9.74540770468208,1.3841440196377143e-06,1.5666749787285272e-07,375.08611294384593,42.227139944301996,6.029896807040111e-06,6.788449039666325e-07,2065.7894801635766,44.220175130144185,3.3209700281066553e-05,7.108850037962618e-07
1,1,300,400,51.3225225439525,6.662699391018776,4.1253128833291933e-07,5.3554888327986254e-08,135.40955891875896,26.928696491945743,1.088424282838183e-06,2.16453309508216e-07,923.2646970918084,29.010278512913033,7.4212169644897175e-06,2.3318510035393825e-07
1,1,400,500,0.72279861611975,1.2901188307401288,5.809867277232398e-09,1.0369996581754095e-08,29.82623840224261,9.03668030302605,2.397437994920183e-07,7.263698631468231e-08,128.4511875473145,10.323581358803594,1.0324927782223967e-06,8.298111836786139e-08
1,1,500,600,5.266295212413841e-15,0.34471966529297204,4.2330568355404445e-23,2.7708623931182684e-09,5.65692063034932,4.4522005859810045,4.547042195045141e-08,3.578686223145794e-08,22.343193510590392,4.97139513926418,1.7959496040947577e-07,3.9960156671105096e-08
1,1,600,1500,1.2028596575817257e-10,1.761925189661917,1.0742895443460286e-19,1.5735982142580813e-09,0.6581197453015486,2.108189508867715,5.877752710790275e-10,1.88285136391541e-09,11.341815730171962,8.735183065252754,1.0129522572333185e-08,7.801505167955923e-09
