pEtaBin,jEtaBin,pPtL,pPtR,b_value,b_error,b_xs,b_xs_err,c_value,c_error,c_xs,c_xs_err,l_value,l_error,l_xs,l_xs_err,fake_value,fake_error,fake_xs,fake_xs_err
0,1,300,400,857.0624216399902,34.25849433475548,4.455340371738534e-06,1.78088840475059e-07,4421.912626045031,143.97378165499322,2.2986803931294355e-05,7.484311360331729e-07,23593.485484294564,152.91066155619774,0.0001226480192505268,7.948884777808435e-07,3100.7873442769114,65.60437178084021,1.6119086183591733e-05,3.4103677722612624e-07
0,1,400,500,201.65214693241208,15.323832372761146,1.0482654805429239e-06,7.965917918729461e-08,1067.6565142260715,72.07473520120118,5.550089527760371e-06,3.746722168845267e-07,5518.965548373637,75.61206155740228,2.868970730376012e-05,3.9306060088652364e-07,592.9764634325226,28.41581573687779,3.0825199079039705e-06,1.4771634813499515e-07
0,1,500,600,70.38648475675973,8.172371977803795,3.658960412258942e-07,4.248313528424454e-08,269.1051113436042,37.636295949987726,1.3989119538296306e-06,1.9564795346856893e-07,1628.3713918044048,40.24715914889475,8.464901294129635e-06,2.092202253608758e-07,117.19260932722014,13.334268082072924,6.092122935524854e-07,6.931665817288479e-08
0,1,600,1500,38.01405834811455,6.924324875599501,2.1956856424879475e-08,3.9994784492748185e-09,182.83233601959776,28.6583428983362,1.0560365102419375e-07,1.655301085275843e-08,863.3461267951649,29.404719203930085,4.986672766539129e-07,1.698411655662153e-08,43.78032107873437,8.996502288115828,2.528744011907303e-08,5.196364651659361e-09
1,0,210,230,1578.4079115836673,36.73575676533824,4.2290896667107877e-05,9.84275409385248e-07,7703.208849049152,157.89844443599077,0.00020639506875851096,4.230634393386716e-06,43149.117586610286,188.37547003596046,0.0011561110786002889,5.0472171860286534e-06,3860.268714825544,93.89906655930963,0.00010342968007690624,2.5158741868021564e-06
1,0,230,250,1142.529103026534,33.91781313704223,3.061222633303898e-05,9.087731504803044e-07,4994.864177929103,142.5959088259665,0.00013382933731185956,3.820627609032118e-06,29727.875707164763,168.24764282768774,0.0007965105283861153,4.50792448839867e-06,3090.7323400797623,78.38022234636583,8.281119288667045e-05,2.1000717619751932e-06
1,0,250,300,1429.2456641344397,38.47319227963624,1.5317733838061185e-05,4.123308777689492e-07,6144.0202335508475,150.28916836347935,6.584764886461244e-05,1.6107024408078245e-06,38903.56556014353,170.72483134009963,0.0004169433412014105,1.8297187052159185e-06,3784.1643822536503,78.6097709302287,4.055623484569849e-05,8.42488858561224e-07
1,0,300,400,778.1900647384356,26.877962618025606,4.170069773941155e-06,1.4403033985819656e-07,4037.9263621521404,116.65100287926566,2.1637946094660723e-05,6.250951319588629e-07,23551.31789819786,130.6276194952443,0.000126203922863966,6.999913162372453e-07,1899.5587597948984,59.63648485402473,1.0179123233484547e-05,3.195727036138104e-07
1,0,400,500,222.04346714612763,13.780652636605723,1.1898593837205923e-06,7.384607646514675e-08,1082.3777402913406,58.271272869820905,5.80011349835564e-06,3.1225697254974947e-07,5353.082972092036,64.01243080501445,2.8685446539108892e-05,3.430219877533553e-07,337.47634193029927,25.557295410271564,1.8084269597772251e-06,1.3695330989593214e-07
1,0,500,600,50.2935891760201,7.225059058022808,2.6950713655850766e-07,3.871676311227077e-08,396.9089060789984,32.61666804857134,2.1269069180475895e-06,1.747822128797499e-07,1442.707042783954,35.32491577175597,7.731002109089571e-06,1.892948396563371e-07,83.06478244516705,12.771853901416549,4.4511740029733725e-07,6.84402491432361e-08
1,0,600,1500,35.62312428690553,5.6348287155481565,2.1210315887446766e-08,3.3550256868503983e-09,135.31510957758545,22.264420137472122,8.056778499745608e-08,1.3256428053959338e-08,765.48782346919,23.911626055328554,4.5577806182889403e-07,1.4237188684835534e-08,41.5865174964108,8.53085336178517,2.4760971711903908e-08,5.079343775005775e-09
1,1,210,230,561.0796785286551,26.40096834867927,2.2549838859013794e-05,1.0610571096529856e-06,3657.815950562804,119.01801899306747,0.0001470079267126925,4.78334406380688e-06,24935.178718457762,140.29845121173094,0.0010021469027294597,5.638606401304849e-06,1689.987880225877,65.01398908002761,6.792075320338581e-05,2.6129176183689423e-06
1,1,230,250,385.37592192363235,22.41344311891379,1.5488290294723215e-05,9.007981396377825e-07,2395.647631377142,104.1734021746829,9.628127718365348e-05,4.186737681525861e-06,16609.29251830259,118.15027923417074,0.0006675288451581636,4.748469530859985e-06,1289.934634137329,50.068230239201625,5.184258003201257e-05,2.012246329809532e-06
1,1,250,300,459.6964927662877,25.089608118382728,7.390096082693309e-06,4.033413732530613e-07,2799.8430020357637,128.93141883537237,4.5010369074145294e-05,2.072705770578486e-06,21040.74168401471,138.27225769911456,0.00033825166200485347,2.2228694063300114e-06,1383.9749129766699,51.56688870303492,2.2248826658189287e-05,8.289910151538302e-07
1,1,300,400,301.9510741485656,18.939515623336575,2.4270877473986215e-06,1.5223614103935233e-07,1087.3207202157646,86.94183674314229,8.73990200223589e-06,6.988399272651315e-07,11307.25097308097,97.21394457765564,9.08878710596113e-05,7.814073005901162e-07,690.7180658838038,35.99181148107613,5.552003281791993e-06,2.893027782687087e-07
1,1,400,500,53.781968030079,7.851491625327952,4.3230035198538204e-07,6.311042004526973e-08,261.79579510265813,33.810663719889874,2.104318947716384e-06,2.7177067634998387e-07,1922.1173105596044,37.90515260395,1.545001085582052e-05,3.046822459821974e-07,81.30033426642899,12.91496267369348,6.534934366895989e-07,1.038106844024979e-07
1,1,500,600,6.879112522688021,2.8526725932398076,5.529442067352165e-08,2.2929829668317736e-08,84.57472646477507,21.101315482256638,6.798130555457095e-07,1.6961272419842197e-07,374.0812881284751,22.006867522235552,3.0068716049706696e-06,1.768915665309492e-07,14.467764072759516,6.01075433925302,1.1629212782986023e-07,4.831454317743616e-08
1,1,600,1500,3.0023965039496012,1.5051355161739992,2.6814792165020136e-09,1.3442560299182117e-09,15.825546292955886,8.63007884129771,1.4134000428833443e-08,7.707635223819206e-09,106.68460726585701,9.855767508652391,9.528140494693213e-08,8.802313652564405e-09,7.508020389450145,3.3726492537647825,6.705510283168737e-09,3.012156744328896e-09
